,Date,low,high,open,close,volume,Funding Rate,FRbin,Pricebin,FR1day,FR1day%,FR5day,FR5day%,Price1day,Price1day%,Price5day,Price5day%
0,2016-05-15,458.49,463.62,458.9,461.47,3269.98252507,0.0516,4.0,0,,,,,,,,
1,2016-05-16,451.48,461.59,461.48,455.66,6019.17236655,0.0451,4.0,0,-0.006499999999999999,-0.1441241685144124,,,-2.0300000000000296,-0.004397842240949825,,
2,2016-05-17,452.2,457.49,455.64,454.19,6033.90842585,0.0454,4.0,0,0.00030000000000000165,0.006607929515418538,,,-4.099999999999966,-0.008961944523377485,,
3,2016-05-18,453.6,457.88,454.19,455.56,5512.42378222,0.0443,4.0,0,-0.0011000000000000038,-0.02483069977426645,,,0.38999999999998636,0.000851751550624588,,
4,2016-05-19,435.0,456.41,455.56,438.38,8412.58613924,0.0427,4.0,0,-0.0015999999999999973,-0.0374707259953161,,,-1.4699999999999704,-0.0032207883262855117,,
5,2016-05-20,435.5,445.85,437.91,445.65,7178.735362,0.0424,4.0,0,-0.00030000000000000165,-0.007075471698113247,-0.0092,-0.2169811320754717,-10.560000000000002,-0.023685095884266014,-17.769999999999982,-0.03985645396433774
6,2016-05-21,441.88,446.99,445.52,446.28,3945.71821234,0.042,4.0,0,-0.0003999999999999976,-0.009523809523809466,-0.0030999999999999986,-0.07380952380952377,1.1399999999999864,0.0025503926262332183,-14.599999999999966,-0.03266292310789943
7,2016-05-22,440.89,446.45,446.27,442.48,3779.58274056,0.04,4.0,0,-0.0020000000000000018,-0.050000000000000044,-0.005400000000000002,-0.13500000000000004,-0.5400000000000205,-0.0012095419419868305,-11.04000000000002,-0.02472841303617431
8,2016-05-23,440.79,446.3,442.45,445.67,5659.42935339,0.0354,4.0,0,-0.0046,-0.12994350282485875,-0.008899999999999998,-0.25141242937853103,-0.14999999999997726,-0.0003360967958771617,-11.579999999999984,-0.025946672641720778
9,2016-05-24,440.5,448.5,445.56,446.99,6536.8124736,0.0373,4.0,0,0.001899999999999999,0.05093833780160855,-0.005400000000000002,-0.14477211796246656,2.1999999999999886,0.004905239687848358,-7.910000000000025,-0.01763656633221856
10,2016-05-25,446.86,452.42,446.98,451.49,6167.95576946,0.0318,4.0,0,-0.005499999999999998,-0.17295597484276723,-0.010599999999999998,-0.33333333333333326,3.920000000000016,0.00866451527341854,6.569999999999993,0.014521904425091714
11,2016-05-26,449.0,454.99,451.45,454.97,5843.88197402,0.0325,4.0,0,0.0006999999999999992,0.021538461538461513,-0.009500000000000001,-0.2923076923076923,2.569999999999993,0.005648475790676703,8.0,0.017582804017670716
12,2016-05-27,454.35,476.75,454.97,471.27,9888.02648828,0.0342,4.0,0,0.0017000000000000001,0.04970760233918129,-0.0058,-0.1695906432748538,21.75999999999999,0.04564237021499736,30.30000000000001,0.06355532249606714
13,2016-05-28,470.13,539.49,471.21,523.25,12107.45659727,0.035,4.0,0,0.0008000000000000021,0.022857142857142916,-0.0003999999999999976,-0.01142857142857136,62.74000000000001,0.1162950193701459,93.19,0.17273721477691895
