,0,1,2,3,4
count,421.0,420.0,420.0,420.0,421.0
mean,5651.998444180523,18599.30503571429,24459.81483333333,13955.27186904762,9249.042547505938
std,6833.769821535215,16972.238498680592,20085.909388535114,16723.594711441314,14087.914723043039
min,551.865,581.585,607.6600000000001,558.1025,441.22749999999996
25%,2264.13,6433.164375,9069.8225,6166.686250000001,779.6349999999999
50%,4035.01,9161.060000000001,11495.27375,8187.86875,4023.465
75%,6717.5625,36762.859375,46852.696875,11085.638125,10542.6425
max,49770.807499999995,61497.90750000001,64863.392499999994,67332.35750000001,63184.2325
