,0,1,2,3,4
count,156.0,155.0,164.0,146.0,155.0
mean,27505.64857371795,29087.201870967743,21810.86219512195,37191.66345890411,34714.19553225807
std,15605.821695177372,17585.021535962223,17580.8960004241,21129.063257235746,20473.480634108895
min,5041.7675,6814.755,6833.415,7965.5375,8480.0525
25%,8771.544375,10368.805,9369.512499999999,11667.680625,11589.65
50%,34083.705,35032.5625,11458.85125,47886.552500000005,35406.5575
75%,39319.9125,46030.177500000005,38909.383125,56675.71625,56835.16
max,51004.3975,61497.90750000001,59252.915,64863.392499999994,67332.35750000001
