,0,1,2,3
88,"Feb 10, 2022, 1:00:00",LTCUSD,0.01,0.03
89,"Feb 10, 2022, 1:00:00",BCHUSD,0.01,0.03
90,"Feb 10, 2022, 1:00:00",XRPUSD,0.01,0.03
91,"Feb 10, 2022, 1:00:00",ETHUSD,0.01,0.03
92,"Feb 10, 2022, 1:00:00",XBTUSD,0.01,0.03
93,"Feb 10, 2022, 5:00:00",MANAUSDT,0.01,0.03
94,"Feb 10, 2022, 5:00:00",SANDUSDT,0.01,0.03
95,"Feb 10, 2022, 5:00:00",FTMUSDT,0.01,0.03
96,"Feb 10, 2022, 5:00:00",SHIBUSDT,0.01,0.03
97,"Feb 10, 2022, 5:00:00",LTCUSDT,0.01,0.03
98,"Feb 10, 2022, 5:00:00",BCHUSDT,0.01,0.03
99,"Feb 10, 2022, 5:00:00",XRPUSDT,0.01,0.03
100,"Feb 10, 2022, 5:00:00",ETHUSDT,0.01,0.03
101,"Feb 10, 2022, 5:00:00",XBTUSDT,0.0044,0.0132
102,"Feb 10, 2022, 5:00:00",SOLUSD,0.01,0.03
103,"Feb 10, 2022, 5:00:00",LINKUSD,0.01,0.03
104,"Feb 10, 2022, 5:00:00",EOSUSD,0.01,0.03
105,"Feb 10, 2022, 5:00:00",AXSUSD,0.01,0.03
106,"Feb 10, 2022, 5:00:00",DOTUSD,0.01,0.03
107,"Feb 10, 2022, 5:00:00",BNBUSD,0.01,0.03
108,"Feb 10, 2022, 5:00:00",DOGEUSD,0.0347,0.1041
109,"Feb 10, 2022, 5:00:00",ADAUSD,0.01,0.03
110,"Feb 10, 2022, 5:00:00",AVAXUSD,0.01,0.03
111,"Feb 10, 2022, 5:00:00",LUNAUSD,0.01,0.03
112,"Feb 10, 2022, 5:00:00",MATICUSDT,0.01,0.03
113,"Feb 10, 2022, 5:00:00",XBTEUR,0.0046,0.0138
114,"Feb 10, 2022, 5:00:00",SOLUSDT,0.01,0.03
115,"Feb 10, 2022, 5:00:00",BNBUSDT,-0.002,-0.006
116,"Feb 10, 2022, 5:00:00",ADAUSDT,0.01,0.03
117,"Feb 10, 2022, 5:00:00",DOTUSDT,0.01,0.03
118,"Feb 10, 2022, 5:00:00",DOGEUSDT,0.01,0.03
119,"Feb 10, 2022, 5:00:00",LTCUSD,0.01,0.03
120,"Feb 10, 2022, 5:00:00",BCHUSD,0.01,0.03
121,"Feb 10, 2022, 5:00:00",XRPUSD,0.0135,0.0405
122,"Feb 10, 2022, 5:00:00",ETHUSD,0.01,0.03
123,"Feb 10, 2022, 5:00:00",XBTUSD,-0.0049,-0.0147
124,"Feb 9, 2022, 9:00:00",MANAUSDT,0.01,0.03
125,"Feb 9, 2022, 9:00:00",SANDUSDT,0.01,0.03
